key,en,fr,zh_Hans_CN,ja,ko,zh_TW,ru,pl,es,pt,de,tr,it
EFFECT_FOXLAB_TOCK_TICK,Move downward digits in [color=#FF8C00]Primary[/color] and [color=#FF8C00]Secondary[/color] stat panel when you get this item (Bottom row goes to top),Déplace vers le bas les chiffres du panneau de stats [color=#FF8C00]Principales[/color] et [color=#FF8C00]Secondaires[/color] quand vous obtenez cet objet (la ligne du bas passe en haut),获得此道具后，[color=#FF8C00]主要[/color]和[color=#FF8C00]次要[/color]属性面板的数值会分别整体[color=#FF8C00]下移[/color]一行（底行属性会转到顶行）,このアイテムを獲得した時、[color=#FF8C00]プライマリ[/color]と[color=#FF8C00]セカンダリ[/color]ステータスパネルの数値がそれぞれ全体に1行[color=#FF8C00]下に[/color]移動する（最下行は最上行へ）,이 아이템을 획득하면 [color=#FF8C00]주요[/color] 및 [color=#FF8C00]보조[/color] 스탯 패널의 수치가 각각 전체적으로 [color=#FF8C00]아래로[/color] 한 줄 이동합니다 (맨 아랫줄은 맨 윗줄로),獲得此道具後，[color=#FF8C00]主要[/color]和[color=#FF8C00]次要[/color]屬性面板的數值會分別整體[color=#FF8C00]下移[/color]一行（底行屬性會轉到頂行）,Сдвигает цифры вниз на панели [color=#FF8C00]Основных[/color] и [color=#FF8C00]Второстепенных[/color] характеристик при получении этого предмета (Нижняя строка переходит наверх),Przesuń w dół cyfry w panelu statystyk [color=#FF8C00]Głównych[/color] i [color=#FF8C00]Drugorzędnych[/color] po zdobyciu tego przedmiotu (Dolny wiersz przechodzi na górę),Mueve hacia abajo los dígitos en el panel de estadísticas [color=#FF8C00]Primarias[/color] y [color=#FF8C00]Secundarias[/color] al obtener este objeto (La fila inferior va a la superior),Move os dígitos para baixo no painel de stats [color=#FF8C00]Primários[/color] e [color=#FF8C00]Secundários[/color] ao obter este item (Linha inferior vai para cima),Ziffern im [color=#FF8C00]Primär[/color]- und [color=#FF8C00]Sekundär[/color]-Stat-Panel nach unten verschieben wenn du diesen Gegenstand erhältst (Unterste Zeile geht nach oben),Bu eşyayı aldığında [color=#FF8C00]Birincil[/color] ve [color=#FF8C00]İkincil[/color] istatistik panelindeki rakamlar aşağı kayar (Alt satır en üst satıra gider),Sposta le cifre verso il basso nel pannello delle statistiche [color=#FF8C00]Primarie[/color] e [color=#FF8C00]Secondarie[/color] quando ottieni questo oggetto (la riga inferiore va in cima)
EFFECT_FOXLAB_STAT_IGNORE_IN_SWAP,Stats whose modifications are reduced by 100% are ignored in moving:,Les stats dont les modifications sont réduites de 100% sont ignorées dans le déplacement :,数值移动会跳过修改减少100%的属性：,変動が100%減少したステータスは移動でスキップされる：,수치 이동 시 수정치가 100% 감소한 스탯은 건너뜁니다:,數值移動會跳過修改減少100%的屬性：,Характеристики,Statystyki,Estadísticas cuyas modificaciones se reducen en 100% se ignoran al mover:,Stats cujas modificações são reduzidas em 100% são ignoradas na movimentação:,Stats deren Modifikationen um 100% reduziert sind werden beim Verschieben ignoriert:,Değişiklikleri %100 azaltılan istatistikler kaydırmada yok sayılır:,Le statistiche le cui modifiche sono ridotte del 100% vengono ignorate nello spostamento:
CHARACTER_FOXLAB_SURVIVOR,Survivor,Survivant,砺练者,サバイバー,생존자,礪練者,Выживший,Ocalały,Sobreviviente,Sobrevivente,Überlebender,Hayatta Kalan,Sopravvissuto
ITEM_FOXLAB_SLOW_AND_STEADY_WINS,Slow and Steady Wins,Lent mais sûr,水滴石穿,石の上にも三年,물방울이 바위를 뚫는다,水滴石穿,Терпение и труд всё перетрут,Powoli i Pewnie Zwyciężysz,Paciencia y Constancia,Devagar e Sempre se Ganha,Langsam aber stetig gewinnt,Ağır Ama Kararlı Kazanır,Pazienza e Costanza
EFFECT_FOXLAB_EXTRA_BOSSES_WITH_CHANCE,"Randomly pick up {1} final Bosses, {2} chance individually for them to appear for every {0} seconds during the next wave","Choisit aléatoirement {1} Boss finaux, {2} chance individuellement pour chacun d'apparaître toutes les {0} secondes pendant la prochaine vague",随机挑选{1}个最终头目，下场敌袭期间每{0}秒每个头目各有{2}几率登场,{1}体の最終ボスをランダムに選び、次のウェーブ中{0}秒ごとに各ボスが{2}の確率で出現する,{1}마리의 최종 보스를 무작위로 선택,隨機挑選{1}個最終頭目，下場敵襲期間每{0}秒每個頭目各有{2}機率登場,"Случайно выбирается {1} финальных боссов, {2} шанс появления каждого individually каждые {0} секунд во время следующей волны","Losowo wybierz {1} Bossów Finałowych, {2} szans indywidualnie na ich pojawienie się co {0} sekund podczas następnej fali","Elige aleatoriamente {1} Jefes Finales, {2} probabilidad individual de que aparezcan cada {0} segundos durante la próxima oleada",Seleciona aleatoriamente {1} Bosses Finais {2} chance individual de aparecerem a cada {0} segundos durante a próxima onda,"Zufällig {1} Endbosse auswählen, jeweils {2} Chance individuell für sie zu erscheinen alle {0} Sekunden während der nächsten Welle","Rastgele {1} final Patronu seçilir, sonraki hücum sırasında her {0} saniyede her biri için {2} bireysel görünme şansı",Seleziona casualmente {1} Boss Finali {2} probabilità individuale che appaiano ogni {0} secondi durante la prossima onda
EFFECT_FOXLAB_TEMP_STATS_PER_INTERVAL_LIMITED,"{0} {1} every {2} second until the end of the wave, bonus is lost when taking damage","{0} {1} toutes les {2} secondes jusqu'à la fin de la vague, le bonus est perdu en subissant des dégâts",每{2}秒{0}{1}直至敌袭结束，受伤时重新计算,{2}秒ごとに{0}{1}しウェーブ終了まで持続、ダメージを受けるとリセットされる,{2}초마다 {0} {1} (웨이브 종료 시까지,每{2}秒{0}{1}直至敵襲結束，受傷時重新計算,"{0} {1} каждые {2} секунд до конца волны, бонус теряется при получении урона","{0} {1} co {2} sekund do końca fali, bonus jest tracony po otrzymaniu obrażeń","{0} {1} cada {2} segundos hasta el final de la oleada, la bonificación se pierde al recibir daño",{0} {1} a cada {2} segundos até o final da onda o bônus é perdido ao sofrer dano,"{0} {1} alle {2} Sekunden bis zum Ende der Welle, Bonus geht verloren bei Schaden","Hücum sonuna kadar her {2} saniyede {0} {1}, hasar aldığında bonus kaybolur",{0} {1} ogni {2} secondi fino alla fine dell'onda il bonus viene perso quando subisci danni
CHARACTER_FOXLAB_TRAP_MASTER,Trap Master,Maître des pièges,陷阱大师,トラップマスター,트랩 마스터,陷阱大師,Мастер ловушек,Mistrz Pułapek,Maestro de Trampas,Mestre de Armadilhas,Fallenmeister,Tuzak Ustası,Maestro di Trappole
ITEM_FOXLAB_INPLACE_OPERATION,In-Place Operation,Opération sur place,就地取材,現地調達,현지 조달,就地取材,Местная заготовка,Działanie Na Miejscu,Operación In Situ,Operação no Local,Vor-Ort-Betrieb,Yerinde Operasyon,Operazione Sul Posto
EFFECT_FOXLAB_SLOW_ON_HIT,Enemy is slowed {0} if hit by {1},L'ennemi est ralenti de {0} s'il est touché par {1},敌人受{1}伤害会暂时减速{0},{1}で攻撃された敵は一時的に{0}減速する,{1}에 의해 피해를 입은 적이 {0} 동안 감속됩니다,敵人受{1}傷害會暫時減速{0},Враг замедляется на {0} при попадании {1},Wróg jest spowolniony o {0},El enemigo se ralentiza {0} si es golpeado por {1},O inimigo é desacelerado em {0} se atingido por {1},Feind wird um {0} verlangsamt wenn von {1} getroffen,{1} ile vurulursa düşman {0} yavaşlar,Il nemico viene rallentato di {0} se colpito da {1}
EFFECT_FOXLAB_SPAWN_LANDMINE_CHANCE,{0} chance to spawn a landmine if an enemy is killed directly by your weapon,{0} chance d'engendrer une mine si un ennemi est tué directement par votre arme,武器直接杀死敌人时有{0}几率生成1地雷,武器で直接敵を倒した時{0}の確率で地雷を1つ生成する,무기가 직접 적을 처치할 때 {0} 확률로 지뢰 1개 생성,武器直接殺死敵人時有{0}機率生成1地雷,{0} шанс создать мину если враг убит напрямую вашим оружием,{0} szans na stworzenie miny,{0} probabilidad de generar una mina si un enemigo es asesinado directamente por tu arma,{0} chance de gerar uma mina se um inimigo for morto diretamente pela sua arma,{0} Chance eine Mine zu erschaffen wenn ein Feind direkt durch deine Waffe getötet wird,Bir düşman silahın tarafından doğrudan öldürülürse {0} şansla 1 kara mayını oluşur,{0} probabilità di generare una mina se un nemico viene ucciso direttamente dalla tua arma
CHARACTER_FOXLAB_MONK,Monk,Moine,僧侣,モンク,수도승,僧侶,Монах,Mnich,Monje,Monge,Mönch,Keşiş,Monaco
ITEM_FOXLAB_BUDDHAS_HAND,Buddha's Hand,Main de Bouddha,佛手,ブッダハンド,불수,佛手,Рука Будды,Dłoń Buddy,Mano de Buda,Mão de Buda,Buddhas Hand,Buda'nın Eli,Mano di Buddha
TAG_DESCRIPTION_ITEM_FOXLAB_BUDDHAS_HAND,"Buddha's Hand can give you weapons even when weapon slot is full; Weapon unique effects can't work for other weapons (Rail Gun, Taser, Harpoon Gun, etc).","La Main de Bouddha peut vous donner des armes même quand les emplacements sont pleins ; Les effets uniques des armes ne fonctionnent pas pour les autres armes (Canon à rails, Taser, Fusil harpon, etc).",佛手装备武器可以溢出武器栏，武器的专属效果无法赋予：如磁轨炮、电击枪、鱼叉枪）,ブッダハンドは武器スロットが満でも武器を装備できる；武器固有効果は他の武器に適用されない（レールガン、テイザー、ハープーンガンなど）,불수는 무기 슬롯이 가득 찬 상태에서도 무기를 장착할 수 있습니다. 무기 고유 효과는 다른 무기에 적용되지 않습니다 (레일건,佛手裝備武器可以溢出武器欄，武器的專屬效果無法賦予：如磁軌砲、電擊槍、魚叉槍）,"Рука Будды может дать вам оружие даже когда слоты заполнены; Уникальные эффекты оружия не работают для другого оружия (Рельсотрон, Тазер, Гарпунная пушка и т.д.).","Dłoń Buddy może dać ci bronie nawet gdy slot na broń jest pełny; Unikalne efekty broni nie działają dla innych broni (Działo Szynowe, Paralizator, Harpun itp.)","La Mano de Buda puede darte armas incluso cuando los espacios están llenos; Los efectos únicos del arma no funcionan para otras armas (Cañón de Riel, Taser, Arpón, etc).",A Mão de Buda pode te dar armas mesmo quando o slot está cheio; Efeitos únicos de armas não funcionam para outras armas (Rail Gun Taser Harpoon Gun etc.),"Buddhas Hand kann dir Waffen geben auch wenn der Waffenslot voll ist; Einzigartige Waffeneffekte können für andere Waffen nicht funktionieren (Rail Gun, Taser, Harpunenkanone, usw.).","Buda'nın Eli silah yuvası dolu olsa bile sana silah verebilir; Silaha özgü etkiler diğer silahlar için çalışmaz (Ray Silahı, Elektro Tabanca, Zıpkına Benzeyen Tabanca vb.)",La Mano di Buddha può darti armi anche quando lo slot è pieno; Gli effetti unici delle armi non funzionano per altre armi (Rail Gun Taser Harpoon Gun ecc.)
EFFECT_FOXLAB_BUDDHAS_HAND,You'll equip a {0} with effect of {1}{2},Vous équiperez un(e) {0} avec l'effet de {1}{2},你将装备1{0}（拥有{1}效果{2}）,{0}を1つ装備する（{1}の効果{2}を持つ）,{1}의 효과{2}를 가진 {0}을(를) 장착합니다,你將裝備1{0}（擁有{1}效果{2}）,Вы экипируете {0} с эффектом {1}{2},Wyposażysz {0} z efektem {1}{2},Equiparás un {0} con efecto de {1}{2},Você equipará um {0} com efeito de {1}{2},Du rüstest ein {0} mit dem Effekt von {1}{2},{1} etkisi olan bir {0} kuşanırsın{2},Equipaggerai un {0} con l'effetto di {1}{2}
EFFECT_FOXLAB_BUDDHAS_HAND_HINT, (There's chance (affected by {0}) to keep the effect on weapon upgrade), (Il y a une chance (affectée par {0}) de garder l'effet lors de l'amélioration de l'arme),，此效果有几率（受{0}影响）在武器升级时保留,、この効果は武器アップグレード時に{0}の影響を受ける確率で維持される,(무기 업그레이드 시 이 효과가 유지될 확률이 있습니다 ({0}의 영향을 받음)),，此效果有機率（受{0}影響）在武器升級時保留, (Есть шанс (зависит от {0}) сохранить эффект при улучшении оружия), (Jest szansa (zależna od {0}) na zachowanie efektu przy ulepszeniu broni), (Hay probabilidad (afectada por {0}) de mantener el efecto al mejorar el arma),(Há chance (afetada por {0}) de manter o efeito na melhoria da arma), (Es besteht eine Chance (beeinflusst von {0}) den Effekt beim Waffen-Upgrade zu behalten), (Silah yükseltildiğinde bu etkiyi koruma şansı var ({0} tarafından etkilenir)),(C'è la probabilità (influenzata da {0}) di mantenere l'effetto nel potenziamento dell'arma)
EFFECT_FOXLAB_BUDDHAS_HAND_BRICK, (The effect is [color=#FF8C00]lost[/color] on weapon upgrade), (L'effet est [color=#FF8C00]perdu[/color] lors de l'amélioration de l'arme),，武器升级后[color=#FF8C00]失去[/color]此效果,、武器アップグレード後この効果は[color=#FF8C00]失われる[/color],(무기 업그레이드 시 이 효과가 [color=#FF8C00]상실[/color]됩니다),，武器升級後[color=#FF8C00]失去[/color]此效果, (Эффект [color=#FF8C00]теряется[/color] при улучшении оружия), (Efekt zostaje [color=#FF8C00]utracony[/color] przy ulepszeniu broni), (El efecto se [color=#FF8C00]pierde[/color] al mejorar el arma),(O efeito é [color=#FF8C00]perdido[/color] na melhoria da arma), (Der Effekt geht beim Waffen-Upgrade [color=#FF8C00]verloren[/color]), (Etki silah yükseltildiğinde [color=#FF8C00]kaybedilir[/color]),(L'effetto viene [color=#FF8C00]perso[/color] nel potenziamento dell'arma)
EFFECT_FOXLAB_BUDDHAS_HAND_CONST, (The effect is [color=#FF8C00]kept[/color] if the weapon [color=#FF8C00]upgrades by itself (eg. Anvil)[/color] or is [color=#FF8C00]selected by you[/color] for combination), (L'effet est [color=#FF8C00]conservé[/color] si l'arme [color=#FF8C00]s'améliore d'elle-même (ex. Enclume)[/color] ou est [color=#FF8C00]sélectionnée par vous[/color] pour la combinaison),，武器[color=#FF8C00]主动升级（如铁砧）[/color]或点击[color=#FF8C00]此武器[/color]合成按钮，可[color=#FF8C00]保留[/color]此效果,、武器が[color=#FF8C00]自力でアップグレード（例：アンビル）[/color]するか、[color=#FF8C00]この武器[/color]が合成で選択された場合、この効果は[color=#FF8C00]維持される[/color],(무기가 [color=#FF8C00]자체 업그레이드(예: 모루)[/color]되거나 [color=#FF8C00]이 무기[/color]가 조합을 위해 [color=#FF8C00]선택[/color]되면 효과가 [color=#FF8C00]유지[/color]됩니다),，武器[color=#FF8C00]主動升級（如鐵砧）[/color]或點擊[color=#FF8C00]此武器[/color]合成按鈕，可[color=#FF8C00]保留[/color]此效果, (Эффект [color=#FF8C00]сохраняется[/color] если оружие [color=#FF8C00]улучшается самостоятельно (напр. Наковальня)[/color] или [color=#FF8C00]выбрано вами[/color] для комбинации)," (Efekt zostaje [color=#FF8C00]zachowany[/color], jeśli broń [color=#FF8C00]ulepsza się sama (np. Kowadło)[/color] lub zostaje [color=#FF8C00]wybrana przez ciebie[/color] do kombinacji)", (El efecto se [color=#FF8C00]mantiene[/color] si el arma [color=#FF8C00]se mejora por sí misma (ej. Yunque)[/color] o es [color=#FF8C00]seleccionada por ti[/color] para combinación),(O efeito é [color=#FF8C00]mantido[/color] se a arma [color=#FF8C00]se melhora sozinha (ex. Bigorna)[/color] ou é [color=#FF8C00]selecionada por você[/color] para combinação), (Der Effekt wird [color=#FF8C00]beibehalten[/color] wenn die Waffe [color=#FF8C00]sich selbst aufwertet (z.B. Amboss)[/color] oder [color=#FF8C00]von dir zur Kombination ausgewählt[/color] wird)," (Etki, silah [color=#FF8C00]kendiliğinden yükselirse (ör. Örs)[/color] veya birleştirme için [color=#FF8C00]senin tarafından seçilirse[/color] [color=#FF8C00]korunur[/color])",(L'effetto viene [color=#FF8C00]mantenuto[/color] se l'arma [color=#FF8C00]si potenzia da sola (es. Incudine)[/color] o è [color=#FF8C00]selezionata da te[/color] per la combinazione)
